organisation,organisationLabel,location,locationLabel
http://www.wikidata.org/entity/Q1796144,Royal College of Music in Stockholm,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q151510,Heidelberg University,http://www.wikidata.org/entity/Q2966,Heidelberg
http://www.wikidata.org/entity/Q3110979,Södertörn University,http://www.wikidata.org/entity/Q4117115,Flemingsberg
http://www.wikidata.org/entity/Q3110979,Södertörn University,http://www.wikidata.org/entity/Q32253035,Huddinge
http://www.wikidata.org/entity/Q2002420,Örebro University,http://www.wikidata.org/entity/Q25732,Örebro
http://www.wikidata.org/entity/Q10550663,Kustsanatoriet Apelviken,http://www.wikidata.org/entity/Q21168,Varberg
http://www.wikidata.org/entity/Q498407,University of Latvia,http://www.wikidata.org/entity/Q1773,Riga
http://www.wikidata.org/entity/Q230899,University of Manchester,http://www.wikidata.org/entity/Q18125,Manchester
http://www.wikidata.org/entity/Q168751,Duke University,http://www.wikidata.org/entity/Q99438089,Duke University campus
http://www.wikidata.org/entity/Q631844,Swedish National Heritage Board,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q502842,Halmstad University College,http://www.wikidata.org/entity/Q26521,Halmstad
http://www.wikidata.org/entity/Q5625923,Gävle University College,http://www.wikidata.org/entity/Q25748,Gävle
http://www.wikidata.org/entity/Q812573,Baylor University,http://www.wikidata.org/entity/Q128244,Waco
http://www.wikidata.org/entity/Q502824,Kristianstad University College,http://www.wikidata.org/entity/Q26937,Kristianstad
http://www.wikidata.org/entity/Q10444909,Centralsjukhuset Kristianstad,http://www.wikidata.org/entity/Q26937,Kristianstad
http://www.wikidata.org/entity/Q3563936,Swedish National Road and Transport Research Institute,http://www.wikidata.org/entity/Q25413,Linköping
http://www.wikidata.org/entity/Q503424,University of Leeds,http://www.wikidata.org/entity/Q26262688,University of Leeds Campus
http://www.wikidata.org/entity/Q1888771,Manchester Metropolitan University,http://www.wikidata.org/entity/Q18125,Manchester
http://www.wikidata.org/entity/Q10553859,Regional Archives in Göteborg,http://www.wikidata.org/entity/Q25287,Gothenburg
http://www.wikidata.org/entity/Q1144673,Royal Academy of Music,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q1752712,Nicolaus Copernicus University in Toruń,http://www.wikidata.org/entity/Q47554,Toruń
http://www.wikidata.org/entity/Q10576435,Campus Manilla,http://www.wikidata.org/entity/Q831527,Djurgården
