organisation	organisationLabel	location
http://www.wikidata.org/entity/Q10571977	Ryhov County Hospital	http://www.wikidata.org/entity/Q25415
http://www.wikidata.org/entity/Q10416979	Swedish Work Environment Authority	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q3737020	Oulu University Hospital	http://www.wikidata.org/entity/Q3892155
http://www.wikidata.org/entity/Q99284864	Griffith University - Gold Coast Campus	http://www.wikidata.org/entity/Q1002144
http://www.wikidata.org/entity/Q472316	University of Nottingham	http://www.wikidata.org/entity/Q41262
http://www.wikidata.org/entity/Q86005221	University of Southampton Faculty of Health Sciences	http://www.wikidata.org/entity/Q79848
http://www.wikidata.org/entity/Q31519	Charles University	http://www.wikidata.org/entity/Q1085
http://www.wikidata.org/entity/Q326342	Concordia University	http://www.wikidata.org/entity/Q340
http://www.wikidata.org/entity/Q1724971	National Archives of Sweden	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q41114	Ewha Womans University	http://www.wikidata.org/entity/Q50408
http://www.wikidata.org/entity/Q137503	University of Łódź	http://www.wikidata.org/entity/Q580
http://www.wikidata.org/entity/Q1155944	Paris Descartes University	http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q1677108	Swedish Transport Administration	http://www.wikidata.org/entity/Q54341
http://www.wikidata.org/entity/Q10677678	Swedish Geotechnical Institute	http://www.wikidata.org/entity/Q25413
http://www.wikidata.org/entity/Q837164	Newcastle University	http://www.wikidata.org/entity/Q1425428
http://www.wikidata.org/entity/Q1155944	Paris Descartes University	http://www.wikidata.org/entity/Q172455
http://www.wikidata.org/entity/Q1155944	Paris Descartes University	http://www.wikidata.org/entity/Q241021
http://www.wikidata.org/entity/Q6039999	Institute of Cancer Research	http://www.wikidata.org/entity/Q84
http://www.wikidata.org/entity/Q891249	Swedish Companies Registration Office	http://www.wikidata.org/entity/Q26476
http://www.wikidata.org/entity/Q56302089	Agency for Digital Government	http://www.wikidata.org/entity/Q26476
http://www.wikidata.org/entity/Q1331110	Swedish Security Service	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1140265	Royal Dramatic Theatre	http://www.wikidata.org/entity/Q298489
http://www.wikidata.org/entity/Q3578460	Västerbottens museum	http://www.wikidata.org/entity/Q25579
http://www.wikidata.org/entity/Q1235608	Paris Diderot University	http://www.wikidata.org/entity/Q90
http://www.wikidata.org/entity/Q10716418	Q10716418	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1235608	Paris Diderot University	http://www.wikidata.org/entity/Q182872
http://www.wikidata.org/entity/Q1235608	Paris Diderot University	http://www.wikidata.org/entity/Q234735
http://www.wikidata.org/entity/Q1472511	Statistics Sweden	http://www.wikidata.org/entity/Q25732
http://www.wikidata.org/entity/Q1549932	University of the Punjab	http://www.wikidata.org/entity/Q4478
http://www.wikidata.org/entity/Q12361172	Estonian-Swedish Mental Health and Suicidology Institute	http://www.wikidata.org/entity/Q1023563
http://www.wikidata.org/entity/Q878218	Max Planck Institute of Biochemistry	http://www.wikidata.org/entity/Q259230
http://www.wikidata.org/entity/Q15574	University of Adelaide	http://www.wikidata.org/entity/Q56433431
http://www.wikidata.org/entity/Q15574	University of Adelaide	http://www.wikidata.org/entity/Q56433476
http://www.wikidata.org/entity/Q15574	University of Adelaide	http://www.wikidata.org/entity/Q56433517
http://www.wikidata.org/entity/Q15574	University of Adelaide	http://www.wikidata.org/entity/Q56433543
http://www.wikidata.org/entity/Q1065414	Vrije Universiteit Amsterdam	http://www.wikidata.org/entity/Q64063085
http://www.wikidata.org/entity/Q15574	University of Adelaide	http://www.wikidata.org/entity/Q334
http://www.wikidata.org/entity/Q156725	University of Hamburg	http://www.wikidata.org/entity/Q1055
http://www.wikidata.org/entity/Q5251219	Defence Materiel Administration	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q2000141	Norrland's University Hospital	http://www.wikidata.org/entity/Q25579
http://www.wikidata.org/entity/Q61754201	Q61754201	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q1541450	Royal Swedish Academy of Music	http://www.wikidata.org/entity/Q1888208
http://www.wikidata.org/entity/Q7654818	Swedish Post and Telecom Agency	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1558586	Hanken School of Economics	http://www.wikidata.org/entity/Q2741998
http://www.wikidata.org/entity/Q593321	University of Genoa	http://www.wikidata.org/entity/Q1449
http://www.wikidata.org/entity/Q58346416	Saint Petersburg Mining Institute	http://www.wikidata.org/entity/Q656
